,M03,M04,M05,M05_2,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44
U41_318eV.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.translationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.rotationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U41_318eV.rotationYerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASBL.totalWidth,2,4,4,4,0.2,0.2,0.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ASBL.totalHeight,1,0.1,0.1,0.2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASBL.translationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
ASBL.translationYerror,0,-0.05,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
M1_Cylinder.radius,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21,174.21
M1_Cylinder.rotationXerror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804218181818182,0.0804218181818182,0.0804218181818182,0.0804218181818182,0.180949090909091,0.231212727272727,0.0301581818181818,0.130685454545455,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.180949090909091,0.0804218181818182
